GeneID	Ensembl_protein_identifier
11992	ENSMUSP00000021913.10
11992	ENSMUSP00000105658.4
11993	ENSMUSP00000090281.8
11993	-
11994	ENSMUSP00000101064.4
11994	ENSMUSP00000122911.3
11994	ENSMUSP00000101069.4
11994	ENSMUSP00000122940.3
11994	ENSMUSP00000121939.3
11994	ENSMUSP00000090076.7
11994	ENSMUSP00000117731.3
11994	ENSMUSP00000119662.3
11994	ENSMUSP00000122466.3
11994	ENSMUSP00000135501.2
11994	ENSMUSP00000135849.2
11994	ENSMUSP00000120056.3
11994	ENSMUSP00000141973.2
11994	ENSMUSP00000141792.2
11994	ENSMUSP00000142173.2
11994	ENSMUSP00000141920.2
11997	ENSMUSP00000007449.8
11998	ENSMUSP00000035551.7
12000	ENSMUSP00000099011.3
12000	ENSMUSP00000110037.2
12000	ENSMUSP00000033765.8
12005	ENSMUSP00001091662.1
12005	ENSMUSP00000073974.5
12006	ENSMUSP00000051331.8
12006	ENSMUSP00000102322.2
12007	ENSMUSP00000038559.6
12009	ENSMUSP00000101834.2
12010	ENSMUSP00000099534.5
12012	ENSMUSP00000041983.3
12013	ENSMUSP00000026703.6
12014	ENSMUSP00000131592.2
12014	ENSMUSP00000103815.3
12015	ENSMUSP00000109050.4
12015	ENSMUSP00000025910.6
12017	ENSMUSP00000139864.2
12017	ENSMUSP00000030125.5
12018	ENSMUSP00000077757.6
12018	-
12020	ENSMUSP00000051990.7
12021	ENSMUSP00000027393.8
12022	ENSMUSP00000021813.5
12023	ENSMUSP00000112314.4
12028	ENSMUSP00000148265.2
12028	ENSMUSP00000148240.2
12028	ENSMUSP00000033093.9
12029	ENSMUSP00000000326.6
12032	-
12032	ENSMUSP00000088491.6
12033	ENSMUSP00000137260.2
12033	ENSMUSP00000020979.8
12034	ENSMUSP00000004375.10
12035	ENSMUSP00000032402.6
12035	ENSMUSP00000107371.2
12036	ENSMUSP00000148152.2
12036	ENSMUSP00000147628.2
12036	ENSMUSP00000033098.8
12038	ENSMUSP00000029367.6
12039	ENSMUSP00000071292.7
12040	ENSMUSP00000139684.2
12040	ENSMUSP00000140598.2
12041	ENSMUSP00000070345.8
12042	ENSMUSP00000029842.8
12043	ENSMUSP00000108371.2
12043	ENSMUSP00000139856.2
12044	ENSMUSP00000096086.3
12045	ENSMUSP00000065612.5
12046	ENSMUSP00000063842.5
12047	ENSMUSP00000096087.3
12048	ENSMUSP00000105445.4
12048	ENSMUSP00000007803.6
12049	ENSMUSP00000034709.6
12050	ENSMUSP00000116385.3
12050	ENSMUSP00000022806.4
12051	ENSMUSP00000113851.2
12053	ENSMUSP00000023151.6
12054	ENSMUSP00000031692.6
12055	ENSMUSP00000145743.2
12055	ENSMUSP00000057937.9
12057	ENSMUSP00000079289.7
12061	ENSMUSP00000045335.5
12062	ENSMUSP00000001652.6
12064	ENSMUSP00000106680.4
12064	ENSMUSP00000106679.4
12064	ENSMUSP00000106674.3
12064	ENSMUSP00000106676.3
12064	ENSMUSP00000106672.3
12064	ENSMUSP00000106678.3
12064	ENSMUSP00000106675.3
12064	ENSMUSP00000135762.2
12064	ENSMUSP00000106673.3
12064	ENSMUSP00000057989.6
12068	ENSMUSP00000044877.5
12069	ENSMUSP00000043113.8
12070	ENSMUSP00000136952.2
12070	ENSMUSP00000108737.2
12070	ENSMUSP00000063039.5
12075	ENSMUSP00000096899.4
12075	ENSMUSP00000028907.8
12091	ENSMUSP00000055803.10
12091	-
12095	ENSMUSP00000103167.2
12095	ENSMUSP00000074965.5
12096	ENSMUSP00000075425.5
12097	ENSMUSP00000096555.3
12111	ENSMUSP00000033741.8
12116	ENSMUSP00000096912.5
12121	ENSMUSP00000107138.3
12121	ENSMUSP00000084039.5
12121	ENSMUSP00000003544.8
12121	ENSMUSP00000133727.2
12122	ENSMUSP00000004560.6
12123	ENSMUSP00000057532.5
12124	ENSMUSP00000016902.4
12124	ENSMUSP00000155439.2
12125	ENSMUSP00000087062.6
12125	ENSMUSP00000099500.2
12125	ENSMUSP00000105970.3
12125	ENSMUSP00000099499.2
12140	ENSMUSP00000020024.6
12142	ENSMUSP00000039248.5
12142	ENSMUSP00000151237.2
12142	ENSMUSP00000101129.3
12143	ENSMUSP00000014597.4
12144	ENSMUSP00000080062.5
12144	ENSMUSP00000127995.2
12145	ENSMUSP00000050444.8
12151	ENSMUSP00000110300.2
12151	ENSMUSP00000028071.7
12153	ENSMUSP00000022693.8
12153	-
12154	ENSMUSP00000032125.6
12155	ENSMUSP00000024049.8
12156	ENSMUSP00000028836.7
12159	ENSMUSP00000098242.3
12159	ENSMUSP00000073720.6
12160	ENSMUSP00000012281.8
12161	ENSMUSP00000126999.2
12162	ENSMUSP00000009143.8
12163	ENSMUSP00000037779.6
12163	ENSMUSP00000099701.4
12164	ENSMUSP00000002457.2
12165	ENSMUSP00000098286.2
12166	ENSMUSP00000035900.9
12167	ENSMUSP00000096167.2
12167	ENSMUSP00000101837.2
12167	ENSMUSP00000101839.2
12167	ENSMUSP00000029948.8
12168	ENSMUSP00000084701.6
12169	ENSMUSP00000107884.3
12173	ENSMUSP00000026096.8
12175	ENSMUSP00000082513.7
12175	ENSMUSP00000113466.2
